codigo_cliente,tarjeta_beneficios,tipo_cliente,promedio_compras,tipo_alimentacion,tiempo_permanencia_min,"1,_app,_xmor34,_2025-01-06",codigo,nombre,apellido,comuna,rut,fecha_nacimiento,religion
440.0,si,1.0,460522.0,normal,19.0,,,,,,,,
441.0,si,2.0,899451.0,normal,41.0,,,,,,,,
442.0,no,5.0,396410.0,no aplica,34.0,,,,,,,,
443.0,no,2.0,866396.0,normal,36.0,,,,,,,,
444.0,no,4.0,511235.0,vegetariano,39.0,,,,,,,,
445.0,si,5.0,911815.0,vegano,13.0,,,,,,,,
446.0,si,3.0,845048.0,no aplica,56.0,,,,,,,,
447.0,no,4.0,57194.0,normal,28.0,,,,,,,,
448.0,no,5.0,662428.0,normal,25.0,,,,,,,,
449.0,si,5.0,731075.0,no aplica,27.0,,,,,,,,
450.0,si,4.0,411221.0,normal,26.0,,,,,,,,
451.0,no,1.0,801220.0,no aplica,54.0,,,,,,,,
452.0,no,5.0,168520.0,vegano,25.0,,,,,,,,
453.0,si,5.0,899527.0,normal,43.0,,,,,,,,
454.0,no,5.0,817310.0,no aplica,25.0,,,,,,,,
455.0,si,3.0,162276.0,vegano,25.0,,,,,,,,
456.0,si,4.0,867653.0,vegano,36.0,,,,,,,,
457.0,si,2.0,989980.0,no aplica,36.0,,,,,,,,
458.0,si,3.0,2543.0,vegano,60.0,,,,,,,,
459.0,si,2.0,159600.0,vegetariano,38.0,,,,,,,,
460.0,si,2.0,974749.0,vegano,44.0,,,,,,,,
461.0,no,1.0,18110.0,normal,24.0,,,,,,,,
462.0,si,5.0,780500.0,no aplica,57.0,,,,,,,,
463.0,no,4.0,407266.0,vegano,46.0,,,,,,,,
464.0,no,1.0,611218.0,vegetariano,19.0,,,,,,,,
465.0,no,3.0,998229.0,no aplica,25.0,,,,,,,,
466.0,no,5.0,234208.0,vegano,57.0,,,,,,,,
467.0,no,1.0,710062.0,vegano,56.0,,,,,,,,
468.0,no,1.0,790197.0,normal,12.0,,,,,,,,
469.0,si,4.0,736165.0,vegano,35.0,,,,,,,,
470.0,no,3.0,146183.0,no aplica,57.0,,,,,,,,
471.0,no,4.0,543030.0,vegano,57.0,,,,,,,,
472.0,no,1.0,688753.0,vegetariano,13.0,,,,,,,,
473.0,no,5.0,803228.0,vegetariano,44.0,,,,,,,,
474.0,no,3.0,659907.0,normal,36.0,,,,,,,,
475.0,si,1.0,412796.0,no aplica,30.0,,,,,,,,
476.0,no,3.0,12549.0,no aplica,26.0,,,,,,,,
477.0,no,4.0,724939.0,vegano,39.0,,,,,,,,
478.0,no,5.0,735401.0,normal,42.0,,,,,,,,
479.0,si,4.0,899591.0,vegetariano,41.0,,,,,,,,
480.0,si,2.0,607944.0,no aplica,47.0,,,,,,,,
481.0,no,2.0,436471.0,normal,18.0,,,,,,,,
482.0,no,3.0,805524.0,no aplica,25.0,,,,,,,,
483.0,si,5.0,435810.0,vegano,54.0,,,,,,,,
484.0,no,2.0,975768.0,no aplica,23.0,,,,,,,,
485.0,no,5.0,713429.0,vegano,58.0,,,,,,,,
486.0,no,1.0,518375.0,no aplica,38.0,,,,,,,,
487.0,no,2.0,563509.0,vegano,43.0,,,,,,,,
488.0,si,4.0,786174.0,normal,22.0,,,,,,,,
489.0,no,5.0,801331.0,no aplica,60.0,,,,,,,,
490.0,si,1.0,350921.0,vegetariano,57.0,,,,,,,,
491.0,no,3.0,800819.0,no aplica,10.0,,,,,,,,
492.0,si,5.0,125446.0,normal,39.0,,,,,,,,
493.0,no,5.0,337448.0,vegetariano,35.0,,,,,,,,
494.0,no,2.0,253657.0,vegetariano,20.0,,,,,,,,
495.0,si,4.0,767999.0,no aplica,11.0,,,,,,,,
496.0,si,2.0,265863.0,vegetariano,41.0,,,,,,,,
497.0,no,5.0,929033.0,vegano,10.0,,,,,,,,
498.0,si,5.0,111646.0,vegetariano,56.0,,,,,,,,
499.0,no,2.0,430777.0,vegano,50.0,,,,,,,,
500.0,no,2.0,885034.0,vegetariano,20.0,,,,,,,,
